"","linenumber","sentiment","overall","date","Content"
"497",497,-1,"Negative","05/18/10","SAN FRANCISCO (MarketWatch) -- U.S. stocks closed lower Tuesday, giving up earlier gains after a late-session slide that tracked a tumble in the euro to a fresh four-year low. The Dow Jones Industrial Average 
        DJIA,
        -1.94%
       fell 114.88 points, or 1.1%, to 10,510.95, with all components lower except Wal-Mart Stores, Inc. 
        WMT,
        -1.05%.
       The S&P 500 
        SPX,
        -2.38%
       fell 16.14 points, or 1.4%, to 1,120.80, led a by drop in the financial sector as credit-card stocks sank on fears of new bank legislation. The Nasdaq Composite 
        COMP,
        -2.75%
       slid 36.97 points, or 1.6%, to 2,317,26. The U.S. dollar index 
        DXY,
        -0.02%
       rose to 87.14."
"498",498,-1,"Negative","05/18/10","NEW YORK (MarketWatch) -- The dollar rose to a new 4-year high against the euro on Tuesday as reports about Germany banning some short selling give traders more reasons to flock to the relative security of the U.S. currency and government debt."
"499",499,-1,"Negative","05/18/10","NEW YORK (MarketWatch) -- U.S. stocks landed with a thud Thursday, giving up earlier attempts at gains, as the euro's slide soured sentiment among investors viewing the currency as a proxy for Europe's sovereign-debt troubles."
"500",500,-2,"Negative","05/18/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures ended at a seven-month low on Tuesday, as a rising dollar and falling stocks nipped a budding rebound in oil prices."
"501",501,-1,"Negative","05/19/10","NEW YORK (MarketWatch) -- The U.S. dollar and Treasury prices remained lower on Wednesday after the Labor Department said its consumer price index fell 0.1% in April. Both the currency and bonds had been down before the report, paring a small share of the big gains notched late Tuesday as word of Germany's ban on short selling raised uncertainty and volatility, which tend to increase the relative appeal of U.S. assets. The euro 
        EURUSD,
        +0.16%
       traded at $1.2246, from $1.2204 in late North American trading Tuesday. It fell to a fresh four-year low of $1.2143 earlier. The dollar index [s$dxy], which tracks the U.S. unit against a trade-weighted basket of six major currencies, fell to 86.987 from 87.160 late Tuesday. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.051%,
       which move inversely to prices, rose 2 basis points to 3.37%. Still to come are minutes from the Federal Reserve's latest policy meeting."
"502",502,-4,"Negative","05/19/10","NEW YORK (MarketWatch) -- Treasury prices erased an earlier loss in mid-morning trading on Wednesday after U.S. stocks fell, with the S&P 500 Index 
        SPX,
        -2.38%
       briefly losing 1%. Bond and the dollar had been lower earlier, paring a small share of the big gains notched late Tuesday as word of Germany's ban on short selling raised uncertainty and volatility, which tend to increase the relative of appeal of U.S. assets. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.051%,
       which move inversely to prices, fell 1 basis point to 3.36%. The euro 
        EURUSD,
        +0.16%
       traded at $1.2363, from $1.2204 in late North American trading Tuesday. It fell to a fresh four-year low of $1.2143 earlier. The dollar index [s$dxy], which tracks the U.S. unit against a trade-weighted basket of six major currencies, fell to 86.442 from 87.160 late Tuesday."
"503",503,-3,"Negative","05/19/10","NEW YORK (MarketWatch) -- Treasury prices and the dollar remained lower on Wednesday after the Federal Reserve said the Greek crisis is a possible threat to U.S. markets, according to minutes of their last meeting. Yields on 2-year notes 
        TMUBMUSD02Y,
        2.837%,
       which move inversely to prices, rose 2 basis points to 0.76%. The euro 
        EURUSD,
        +0.14%
       rose to $1.2391, from $1.2204 in late North American trading Tuesday. It fell to a fresh four-year low of $1.2143 earlier. The dollar index [s$dxy], which tracks the U.S. unit against a trade-weighted basket of six major currencies, fell to 86.325 from 87.160 late Tuesday."
"504",504,-2,"Negative","05/19/10","SAN FRANCISCO (MarketWatch) -- Gold ended lower on Wednesday and platinum and palladium plummeted as commodities felt the pinch of a retreat in risk appetite amid selling pressure in stocks and energy products."
"505",505,-3,"Negative","05/19/10","NEW YORK (MarketWatch) -- The German ban on some investments is another worry for U.S. investors, but the concern is mostly about the euro's slide and what the plight of Europe's common currency says about prospects for the global economy."
"506",506,-2,"Negative","05/19/10","NEW YORK (MarketWatch) - U.S. stocks ended moderately lower Wednesday as investors wrestled with worries over the euro zone's debt woes and the potential impact on U.S. companies."
"507",507,0,"Negative","05/19/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures tried but failed to post any sizeable gains Wednesday, as investors remained cautious about the global economic recovery and, by extension, about the demand for oil."
"508",508,-5,"Negative","05/19/10","LOS ANGELES (MarketWatch) -- Key Latin American stock indexes fell Wednesday, extending declines as investors remain anxious that global economic recovery will be dented by European sovereign-debt troubles."
"509",509,-2,"Negative","05/19/10","NEW YORK (MarketWatch) -- The euro rose more than 1% against the dollar and Japanese yen on Wednesday, recouping a steep drop that had extended into the early hours, with analysts attributing the rebound to traders reversing so-called short bets that the euro would decline even further."
"510",510,-1,"Negative","05/20/10","NEW YORK (MarketWatch) -- Treasury prices extended gains and the dollar remained higher on Thursday after the Labor Department said 471,000 Americans filed first-time claims for jobless benefits, unexpectedly jumping 25,000. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, fell 11 basis points to 3.26%. The euro 
        EURUSD,
        +0.13%
       slipped to $1.2343 from $1.2429 in late North American trading Wednesday. The dollar index 
        DXY,
        -0.02%,
       which tracks the U.S. unit against a trade-weighted basket of six major currencies, rose to 86.629 from 86.094 late Wednesday. Still to come is the Philadelphia Federal Reserve's index on manufacturing for May and the leading indicators index for April, both at 10 a.m. Eastern. At 11 a.m., the Treasury Department will say how much in debt it will sell next week. Analysts expect auction sizes to shrink."
"511",511,-1,"Negative","05/20/10","NEW YORK (MarketWatch) -- Treasury prices and the dollar remained higher on Thursday after the Philadelphia Federal Reserve's index on manufacturing for May rose to 21.4 and the leading indicators index for April fell 0.1%. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, fell 12 basis points to 3.25%. The euro 
        EURUSD,
        +0.15%
       slipped to $1.2352 from $1.2429 in late North American trading Wednesday. The dollar index 
        DXY,
        -0.02%,
       which tracks the U.S. unit against a trade-weighted basket of six major currencies, rose to 86.535 from 86.094 late Wednesday."
"512",512,-3,"Negative","05/20/10","NEW YORK (MarketWatch) -- The euro spiked higher against the dollar in afternoon trading on Thursday, reversing a deep decline earlier after reaching levels that tripped significant orders above the current market level, according to Action Economics. Analysts also noted ""chatter"" about a meeting of the European Central Bank. The ECB had a scheduled bi-weekly meeting Thursday. The euro 
        cur_eurusd
       jumped to $1.2489, from a low of $1.2295 earlier in the session and up from $1.2429 in late North American trading Wednesday. The dollar index 
        $dxy,
       which tracks the U.S. unit against a basket of six major currencies, also reversed to fall to 85.910 from 86.094 late Wednesday."
"513",513,-1,"Negative","05/20/10","NEW YORK (MarketWatch) -- The euro spiked higher against the dollar in afternoon trading on Thursday, reversing a deep decline, which analysts attributed to a combination of the reversal of more positions against the shared currency and revived concerns about steps officials may take in attempts to calm and stabilize markets that have become more volatile."
"514",514,0,"Negative","05/21/10","NEW YORK (MarketWatch) -- The euro recovered versus the dollar to rise to the highs of the day on Friday after both houses of Germany's parliament approved the country's contribution to the 750 billion-euro bailout plan put together by the European Union and the International Monetary Fund. The euro rose to $1.2566, from $1.2550 late Thursday. The euro has bounced strongly since hitting a four-year low below $1.22 on Wednesday. The dollar index 
        DXY,
        -0.02%,
       which tracks the U.S. unit against a basket of six major currencies, fell to 85.542, up from 85.637 in North American trade late Thursday."
"515",515,0,"Negative","05/21/10","SAN FRANCISCO (MarketWatch) -- Gold futures ended lower for the fourth consecutive session on Friday, as investors dumped the metal likely to raise cash for their other souring investments."
"516",516,0,"Negative","05/21/10","NEW YORK (MarketWatch) -- The euro rose Friday versus the dollar, pushing the shared currency to its first weekly gain in five, as traders continued closing so-called short positions in the euro -- bets that it had further to fall."
"517",517,3,"Positive","05/21/10","NEW YORK (MarketWatch) -- Stocks enjoyed a rally that ended with a flourish Friday as investors put sidelined cash back to work, though many remained cautious about the outlook for Europe's financial system in the weeks ahead."
"518",518,0,"Negative","05/22/10","SAN FRANCISCO (MarketWatch) -- Stock markets around the world are falling fast from recent peaks - into what are considered corrections or even bear markets - as investors tone down expectations for global growth."
"519",519,-1,"Negative","05/24/10","NEW YORK (MarketWatch) -- Treasury prices and the U.S. dollar held onto the bulk of the day's gains on Monday after data showing existing home sales rose 7.6% to a 5.77 million pace. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, fell 4 basis points to 3.20%. The euro [cur_eurusd] tumbled to $1.2349, down from $1.2581 late Friday. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, rose to 86.458, up from 85.397 in late North American trading Friday."
"520",520,2,"Positive","05/24/10","SAN FRANCISCO (MarketWatch) -- Gold and other metals futures bounced back on Monday, with investors more eager to buy bullion as prices had come off from their record mid-May highs."
"521",521,-2,"Negative","05/24/10","NEW YORK (MarketWatch) -- The euro fell more than 1% against the U.S. dollar on Monday, as the bank of Spain's need to take over a struggling savings banks renewed concerns of continued credit problems in Europe."
"522",522,0,"Negative","05/24/10","SAN FRANCISCO (MarketWatch) -- Crude inched up Monday, hanging on to higher prices even as futures battled a stronger dollar and a down day for U.S. stocks."
"523",523,-2,"Negative","05/24/10","NEW YORK (MarketWatch) - A late swoon sent stocks to a steep loss Monday that erased all the previous session's gains, underscoring that investors' fears about Europe's credit crisis and tighter rules on Wall Street are still running strong."
"524",524,2,"Positive","05/25/10","SAN FRANCISCO (MarketWatch) -- Gold prices eked out gains on Tuesday as tensions on the Korean peninsula and worries about Europe sparked safe-haven bullion buying."
"525",525,2,"Positive","05/25/10","NEW YORK (MarketWatch) -- Rising tensions between North and South Korea, renewed fears over the fate of Europe's banking sector and a sharp selloff by global equities ensured safe-haven flows and boosted the U.S. dollar Tuesday."
"526",526,-1,"Negative","05/25/10","SAN FRANCISCO (MarketWatch) -- Oil futures trimmed some of their losses Tuesday as commercial buyers snapped up crude at bargain-basement prices and stocks came off their lows."
"527",527,0,"Negative","05/25/10","CHICAGO (MarketWatch) -- VMware Inc., Oracle Corp., and Symantec Corp. are among the tech companies whose revenue are likely to be hurt the most by a stronger U.S. dollar, Citigroup Global Markets analyst Walter Pritchard said on Tuesday."
"528",528,1,"Positive","05/26/10","NEW YORK (MarketWatch) -- Treasury prices and the dollar stayed broadly lower on Wednesday after a report said orders for durable goods in April rose 2.9%. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, rose 9 basis points to 3.25%. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, traded at 86.689, up slightly from 86.670 before the data but still down from 86.799 in late North American trading on Tuesday. The euro 
        EURUSD,
        +0.13%
       traded at $1.2304, compared with $1.2308 late Tuesday. Still to come is data on new home sales and the government's auction of 5-year notes 
        TMUBMUSD05Y,
        3.079%."
"529",529,3,"Positive","05/26/10","NEW YORK (MarketWatch) -- The dollar turned higher versus the euro on Wednesday, helping it gain against a basket of other currencies. The shift came shortly after U.S. data on durable goods came in stronger than expected, prompting some selling of euros from a large account, according to Action Economics. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, rose to 86.910, up from 86.670 before the data and from 86.799 in late North American trading on Tuesday. The euro 
        EURUSD,
        +0.14%
       fell to $1.2261, after trading nearly unchanged before the data from $1.2308 late Tuesday."
"530",530,0,"Negative","05/26/10","NEW YORK (MarketWatch) -- The dollar and Treasury yields remained higher Wednesday after data showing new-home sales in the U.S. jumped 14.8% in April to a 504,000 pace, stronger than analyst expected. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, rose to 86.865, from 86.799 in late North American trading on Tuesday. The euro 
        EURUSD,
        +0.13%
       fell to $1.2268, from $1.2308 late Tuesday. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, rose 8 basis points to 3.24%."
"531",531,1,"Positive","05/26/10","WASHINGTON (MarketWatch) -- U.S. sales of new homes jumped nearly 15% in April to the highest level since May 2008 as homebuyers rushed to meet the deadline to qualify for tax credits."
"532",532,0,"Negative","05/26/10","SAN FRANCISCO (MarketWatch) -- Gold futures finished higher for a third straight session on Wednesday on worries about the global economy and as the rebound in global stock markets prompted short-term speculative interest in metals and other commodities."
"533",533,-1,"Negative","05/26/10","NEW YORK (MarketWatch) -- Treasury prices fell Wednesday, pushing yields up, after the government received moderate demand for $40 billion in 5-year notes, which it auctioned at the lowest yield since April 2009."
"534",534,-1,"Negative","05/26/10","NEW YORK (MarketWatch) -- U.S. stocks on Wednesday ended lower after a late-session lapse that coincided with a drop in the euro below a key threshold, as investors focused on reports that China might review its European bond holders."
"535",535,1,"Positive","05/26/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures jumped 4% on Wednesday as investors focused on the good economic news and picked through a government report on inventories to cheer indications of growing demand."
"536",536,3,"Positive","05/26/10","NEW YORK (MarketWatch) -- The dollar advanced on Wednesday against the euro, which fell below $1.22 late in the session, in part as a jump in U.S. durable goods orders and new home sales added fundamental support for the greenback, which is on track for its best month since October 2008."
"537",537,-3,"Negative","05/27/10","NEW YORK (MarketWatch) -- The dollar and Treasury prices pared losses on Thursday after the Labor Department said the number of Americans filing first-time claims for unemployment benefits fell 14,000 to 460,000 in the latest week. A separately report said the economy grew at a revised 3.0% pace in the first quarter, slower than initially reported. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, rose 7 basis points to 3.26%. The euro 
        EURUSD,
        +0.12%
       traded at $1.2241, down from $1.2267 before the data but still up from $1.2197 in late North American trade Wednesday. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, fell to 86.818, from 86.703 before the data and compared to 87.159 on Wednesday. Still to come if the government's sale of 7-year notes 
        TMUBMUSD07Y,
        3.093%."
"538",538,1,"Positive","05/27/10","SAN FRANCISCO (MarketWatch) -- Gold futures edged lower Thursday as fear-buying slowed to a trickle, but most investors weren't ready to embrace a rosy outlook."
"539",539,-1,"Negative","05/27/10","NEW YORK (MarketWatch) -- The dollar fell versus the euro Thursday as Europe's single currency got relief from China's denial of news reports that it was considering the sale of some of its holdings in euro-denominated bonds."
"540",540,1,"Positive","05/27/10","SAN FRANCISCO (MarketWatch) -- Crude futures rallied past 4% on Thursday, extending solid gains as China denied it was ready to sell euro-zone bonds and as other asset classes such as stocks also traded markedly higher."
"541",541,0,"Negative","05/28/10","NEW YORK (MarketWatch) -- Treasury prices extended small gains and the dollar pared an earlier decline on Friday after a report showed U.S. consumer spending was flat in April, while incomes rose 0.4%. The euro 
        EURUSD,
        +0.13%
       bought $1.2358, from $1.2356 in North American trading late Thursday. The dollar index [s; $dxy], which tracks the U.S. unit against a basket of six major currencies, traded at 86.311, compared to 86.305 late Thursday. Still to come is a report on consumer sentiment, though analysts expect trading to thin notably as the three-day weekend approaches and bond markets close early. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, fell 5 basis points to 3.31%."
"542",542,1,"Positive","05/28/10","NEW YORK (MarketWatch) -- U.S. stock futures clung to slight gains Friday, with markets looking set for a quiet finish to what's been a volatile week after the release of several economic indicators."
"543",543,0,"Negative","05/28/10","NEW YORK (MarketWatch) -- The dollar turned slightly higher in morning trading on Friday, with analysts pointing to expected thinning trading ahead of a 3-day weekend. The euro 
        EURUSD,
        +0.13%
       bought $1.2348, down from $1.2356 in North American trading late Thursday. It traded above $1.24 in the European session. The dollar index [s; $dxy], which tracks the U.S. unit against a basket of six major currencies, rose to 86.356, compared to 86.305 late Thursday."
"544",544,-1,"Negative","05/28/10","NEW YORK (MarketWatch) -- Treasury prices remained lower and the dollar turned back down on Friday after the final May reading from the Reuters/University of Michigan consumer sentiment was revised up to 73.6, helping U.S. stocks pare earlier losses. The euro 
        EURUSD,
        +0.12%
       bought $1.2360, from $1.2356 in North American trading late Thursday. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, slipped to 86.280, compared to 86.305 late Thursday. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, fell 3 basis points to 3.33%."
"545",545,-2,"Negative","05/28/10","NEW YORK (MarketWatch) -- Treasury prices stayed higher and the dollar crept up on Friday after the Federal Reserve said it has scheduled ""small value"" auctions of term deposits that are expected to eventually grow into a tool for tightening monetary policy. The euro 
        EURUSD,
        +0.14%
       bought $1.2324, from $1.2356 in North American trading late Thursday. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, rose to 86.503, compared to 86.305 late Thursday. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, fell 5 basis points to 3.31%."
"546",546,0,"Negative","05/28/10","WASHINGTON (MarketWatch) -- The Federal Reserve announced Friday that it has scheduled the first ""small value"" auctions of term deposits that are expected to eventually grow into a tool for tightening monetary policy."
"547",547,1,"Positive","05/28/10","NEW YORK (MarketWatch) -- The dollar briefly extended gains versus the euro on Friday after Fitch Ratings downgraded Spain's long-term foreign and local currency issuer default ratings to AA+ from AAA. ""Spain so far has gotten off relatively easy,"" said Win Thin, senior currency strategist at Brown Brothers Harriman. ""The euro is of course taking it on the chin and has given up all of today's gains."" The downgrade should remind investors that ""the potential and risk is for more bad news to emerge from time to time and roil markets."" The euro 
        EURUSD,
        +0.14%
       bought $1.2320, from $1.2356 in North American trading late Thursday. The dollar index 
        DXY,
        -0.03%,
       which tracks the U.S. unit against a basket of six major currencies, rose to 86.503, compared to 86.305 late Thursday."
"548",548,2,"Positive","05/28/10","SAN FRANCISCO (MarketWatch) -- Gold eked out modest gains Friday, adding to its monthly advance, after a debt ratings downgrade for Spain provided bullion with a last-minute boost."
"549",549,1,"Positive","05/28/10","NEW YORK (MarketWatch) -- The dollar notched its longest string of monthly gains against the euro since 2000 amid worries about massive debt and fiscal cutbacks needed in Europe, inspiring a shift out of riskier assets such as stocks and toward the relative safe-haven status of the U.S. currency."
"550",550,-4,"Negative","05/28/10","NEW YORK (MarketWatch) -- A downgrade of Spain's debt rating rekindled investors' broader fears about European credit sparking a sharp decline in stocks in the last session of May, which saw the market's worst monthly drop since February 2009."
"551",551,-5,"Negative","05/28/10","SAN FRANCISCO (MarketWatch) -- Oil settled lower on Friday after fluctuating earlier, after a downgrade for Spain's debt brought back concerns about a potential European debt crisis weighing on oil demand."
"552",552,1,"Positive","05/31/10","LONDON (MarketWatch) -- The U.S. dollar edged higher Monday, extending gains after ending May trading in North America with its biggest rise since October 2008."
"553",553,1,"Positive","06/01/10","SAN FRANCISCO (MarketWatch) -- The U.S. dollar and Treasurys pared their gains Tuesday after the Institute for Supply Management's manufacturing index for May showed stronger expansion than expected. The U.S. dollar index 
        DXY,
        -0.03%
       traded at 86.76, down from 86.87 ahead of the data, but still up for the day. The euro bought $1.2243, trimming its loss and compared to $1.2217 ahead of the data. Yields on the 10-year Treasury note 
        TMUBMUSD10Y,
        3.053%
       were down 2 basis points at 3.27% vs. 3.25% ahead of the data. The ISM index fell to 59.7% in May from 60.4% in April, better than the drop to 59.0% expected by analysts."
"554",554,2,"Positive","06/01/10","CHICAGO (MarketWatch) -- Treasurys edged higher on Tuesday but gave up some of their gains after a stronger-than-expected round of U.S. data reduced the incentive to hold safe-haven U.S. government debt."
"555",555,-2,"Negative","06/01/10","LOS ANGELES (MarketWatch) -- The U.S. dollar rose against the euro Tuesday as of slowing activity in China and worries about sovereign risk in the euro zone pushed traders to seek safety in the greenback."
"556",556,-1,"Negative","06/02/10","SAN FRANCISCO (MarketWatch) -- Treasurys clung to losses and the U.S. dollar lightly trimmed gains Wednesday after the National Association of Realtors said its pending home sales index rose 6% in April after an upwardly revised 7.1% increase in March. Yields on the 10-year Treasury 
        TMUBMUSD10Y,
        3.053%
       were 3.27%, up less than 1 basis point and near their level just before the 10 a.m. data. The two-year note 
        TMUBMUSD02Y,
        2.837%
       yielded 0.77%, flat on the day and unchanged from before the data. The U.S. dollar index 
        DXY,
        -0.03%
       traded at 87, slightly lower than 87.07 ahead of the data, but still higher for the session. The euro pared losses to buy $1.2212 vs. $1.2195 ahead of the data."
"557",557,1,"Positive","06/02/10","SAN FRANCISCO (MarketWatch) -- Gold futures fell Wednesday as flight-to-quality buying slowed, but trimmed losses later in the day and came tantalizingly close to notch yet another winning session."
"558",558,1,"Positive","06/02/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures rose Wednesday as some of the concern about demand for energy products in the U.S. dissipated after a better-than-anticipated report on home sales, strong auto sales numbers, and a recovery for U.S. stocks."
"559",559,0,"Negative","06/02/10","LOS ANGELES (MarketWatch) -- The U.S. dollar hit a three-week high against the Japanese yen Wednesday, finding support against the currency following the resignation of Yukio Hatoyama as Japan's prime minister."
"560",560,0,"Negative","06/03/10","NEW YORK (MarketWatch) -- Treasurys and the dollar remained lower and yields rose on Thursday after payroll processor ADP said U.S. companies hired 55,000 workers in May, less than expected. Economists surveyed by MarketWatch were expecting the ADP report to show 100,000 jobs added in May. Yields on benchmark 10-year notes 
        TMUBMUSD10Y,
        3.053%
       rose 7 basis points to 3.414%. The dollar index 
        DXY,
        -0.03%,
       which measures the U.S. unit against a basket of six major currencies, rose to 86.73."
"561",561,-3,"Negative","06/03/10","NEW YORK (MarketWatch) -- Treasurys and the dollar remained lower and yields rose on Thursday after the government reported jobless claims fell by 10,000 to 453,000 in the latest week. Economists surveyed by MarketWatch had expected initial claims to fall to 455,000. Yields on benchmark 10-year notes 
        TMUBMUSD10Y,
        3.053%
       were up 6 basis points at 3.404%. The dollar index 
        DXY,
        -0.03%,
       which measures the U.S. unit against a basket of six major currencies, rose to 86.73. The four-week average of initial claims - a better gauge of employment trends than the volatile weekly number - rose by 1,750 to 459,000, according to the Labor Department."
"562",562,2,"Positive","06/03/10","NEW YORK (MarketWatch) -- U.S. stocks rose on Thursday after key job reports showed modest improvements in the labor market and retailers reporting May same-store sales largely beat expectations."
"563",563,0,"Negative","06/03/10","NEW YORK (MarketWatch) -- Treasurys remained lower and the dollar rose on Thursday after the Institute for Supply Management said its non-manufacturing index was unchanged at 55.4% in May. Economists surveyed by MarketWatch were looking for the index to slide to 55.2% in May. Yields on benchmark 10-year notes 
        TMUBMUSD10Y,
        3.053%
       were up 6 basis points at 3.400%. The dollar index 
        DXY,
        -0.03%,
       which measures the U.S. unit against a basket of six major currencies, rose to 86.90."
"564",564,-2,"Negative","06/03/10","SAN FRANCISCO (MarketWatch) -- U.S. crude-oil futures shook off an early wavering to post a 2.4% bounce as investors focused on a larger-than-expected decline in the nation's stockpiles of oil and gasoline."
"565",565,1,"Positive","06/03/10","SAN FRANCISCO (MarketWatch) -- Gold fell Thursday as safety-play buying slackened and a drop for stocks did little to entice buyers to the bullion market."
"566",566,-1,"Negative","06/03/10","LOS ANGELES (MarketWatch) -- The euro fell against the U.S. dollar on Thursday, nearly revisiting four-year lows, as upbeat U.S. economic reports lifted hopes for Friday's May employment report, while euro-zone data slightly missed expectations."
"567",567,0,"Negative","06/03/10","CHICAGO (MarketWatch) -- Treasury prices fell and yields rose Thursday as investors sold off some of their safe-haven investments on the eve of the release of key data about nonfarm payrolls and unemployment for May."
"568",568,0,"Negative","06/04/10","SAN FRANCISCO (MarketWatch) -- Gold ended higher Friday, regaining its status as the flight-to-quality investment of choice after stocks fell deeper into negative territory and the euro dipped to a four-year low."
"569",569,-6,"Negative","06/04/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures fell 4.1% Friday, their largest single-day drop since Feb. 4, as a much-anticipated jobs report disappointed and new worries about Europe raised fears of a double-dip recession."
"570",570,-4,"Negative","06/04/10","NEW YORK (MarketWatch) -- U.S. stocks tumbled Friday, with the Dow Jones Industrial Average falling well below the 10,000 level, after a weaker-than-expected jobs report hit investors already on edge over the possibility that a sovereign-debt crisis was spreading across Europe."
"571",571,-3,"Negative","06/04/10","CHICAGO (MarketWatch) -- Treasury prices rallied Friday, as investors moved capital into defensive investments in the wake of disappointing U.S. payrolls data and fears about Hungary's economy."
"572",572,-3,"Negative","06/04/10","LOS ANGELES (MarketWatch) -- The euro hit a four-year low against the U.S. dollar Friday, losing ground as weak U.S. payroll figures and mounting concerns about Hungary's fiscal situation prompted investors to run toward the relative safety of the greenback."
"573",573,-3,"Negative","06/07/10","NEW YORK (MarketWatch) -- Treasury prices turned up slightly on Monday, pushing yields down and extending the big gains notched Friday on a combination of fears about Hungary's financial health and a weak U.S. payrolls report. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, slid 1 basis point to 3.20%. The euro fell to $1.1939, from $1.1966 late in North American trading Friday. The dollar index 
        DXY,
        -0.04%,
       which tracks the greenback against a basket of major currencies, rose to 88.343, from 88.300 late Friday. ""The euro remains utterly friendless and barring intervention seems to have no place to go but down,"" said Brian Dolan, chief currency strategist for FOREX.com. The next target for the euro is around $1.1820, he said."
"574",574,0,"Negative","06/07/10","SAN FRANCISCO (MarketWatch) -- Gold prices went from red to rallying Monday amid lingering concerns about the health of the world economy, briefly topping their May 12 record before settling a couple dollars short of that high mark."
"575",575,2,"Positive","06/07/10","NEW YORK (MarketWatch) -- The dollar improved on Monday, with the euro driven by gained investors' attitude towards riskier assets -- including stocks, commodities, and higher-yielding currencies."
"576",576,1,"Positive","06/08/10","NEW YORK (MarketWatch) -- The dollar recovered versus the euro in afternoon trading after a swift spike lower by the Swiss franc against both currencies."
"577",577,-1,"Negative","06/08/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures advanced Tuesday on support from a weaker dollar, after swerving in and out of negative territory earlier."
"578",578,-2,"Negative","06/08/10","NEW YORK (MarketWatch) -- U.S. stocks ended firmly higher Tuesday, even as the technology sector stayed lower, rebounding from two days of heavy losses helped by Federal Reserve Chairman Ben Bernanke's assessment that another recession is unlikely."
"579",579,2,"Positive","06/09/10","Treasurys, dollar lower after Bernanke testimony
NEW YORK (MarketWatch) -- Treasury prices and the dollar remained under pressure on Wednesday after Federal Reserve Chairman Ben Bernanke said the U.S. economy is strong enough to withstand the fiscal tightening that is ahead. Still there are ""significant restraints"" on the economy, he said in remarks prepared for the House Budget Committee. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, rose 3 basis points to 3.22%. The euro 
        EURUSD,
        +0.09%
       rose to $1.2031, compared to $1.1942 in late North American trading on Tuesday. The dollar index 
        DXY,
        -0.04%,
       which tracks the U.S. unit against a basket of six major currencies, stood at 87.665, down from 88.307 late Tuesday."
"580",580,-2,"Negative","06/09/10","NEW YORK (MarketWatch) -- Treasury prices and the dollar pared losses but remained under pressure on Wednesday after the Federal Reserve's Beige Book report said consumer spending has risen, though concerns about Europe and the oil spill have grown. The euro 
        EURUSD,
        +0.14%
       rose to $1.2007, compared to $1.1942 in late North American trading on Tuesday. The dollar index 
        DXY,
        -0.04%,
       which tracks the U.S. unit against a basket of six major currencies, stood at 87.806, down from 88.307 late Tuesday. Yields on 10-year notes 
        TMUBMUSD10Y,
        3.053%,
       which move inversely to prices, rose 2 basis points to 3.21%."
"581",581,2,"Positive","06/09/10","SAN FRANCISCO (MarketWatch) -- Gold futures ended more than 1% lower Wednesday, as investors seemed ready to embrace riskier bets following a reported surge in Chinese exports."
"582",582,-1,"Negative","06/09/10","SAN FRANCISCO (MarketWatch) -- Crude futures rose on Wednesday on a weaker dollar, a stronger U.S. stock market, and a report showing a decrease in oil inventories."
"583",583,-2,"Negative","06/09/10","NEW YORK (MarketWatch) -- The dollar pared losses against the euro and other currencies on Wednesday after the Federal Reserve's Beige Book report said consumer spending has risen, though concerns about Europe and the oil spill have grown."
"584",584,0,"Negative","06/09/10","NEW YORK (MarketWatch) -- Maybe a good argument for some kind of short-term (and likely short-lived) bounce in stocks this month is that there's only a small window of opportunity before the real trouble begins next month."
